,Player,Age,Team,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
0,Norm Nixon,24,LAL,PG,82,82,3226,14.9,.548,.007,.209,1.9,5.5,3.9,25.3,2.1,0.2,17.9,20.0,4.1,2.7,6.7,.100,0.2,-0.9,-0.7,1.1
1,Elvin Hayes,34,WSB,PF,81,,3183,17.2,.492,.008,.285,8.4,20.0,14.1,6.1,0.9,3.1,10.2,26.1,2.1,4.2,6.2,.094,-0.2,-0.2,-0.4,1.2
2,Bill Cartwright,22,NYK,C,82,82,3150,17.9,.608,.000,.466,6.6,18.6,12.6,7.0,0.7,1.7,13.2,20.6,7.7,2.1,9.7,.148,1.7,-1.2,0.6,2.1
3,Kareem Abdul-Jabbar,32,LAL,C,82,,3143,25.3,.639,.001,.344,7.2,22.2,15.4,16.5,1.2,4.6,15.7,24.1,9.5,5.3,14.8,.227,4.8,2.4,7.2,7.3
4,Moses Malone,24,HOU,C,82,82,3140,24.1,.560,.004,.505,19.6,22.3,20.9,7.1,1.2,1.9,13.7,27.6,8.9,3.0,11.9,.183,4.5,-2.4,2.1,3.2
5,Jamaal Wilkes,26,LAL,SF,82,82,3111,17.6,.563,.013,.172,6.8,11.2,9.2,10.8,1.9,0.5,9.7,20.8,6.7,3.2,10.0,.154,1.7,-0.4,1.3,2.6
6,Michael Ray Richardson,24,NYK,SG,82,82,3060,17.8,.517,.103,.318,5.3,13.9,9.6,34.1,3.9,0.6,22.9,19.7,2.4,3.7,6.0,.094,1.7,1.3,3.1,3.9
7,Reggie Theus,22,CHI,SG,82,82,3029,17.0,.579,.090,.509,5.4,6.7,6.1,25.9,1.8,0.4,19.5,24.0,5.2,1.7,6.9,.110,2.1,-1.3,0.8,2.1
8,Wes Unseld,33,WSB,C,82,82,2973,15.4,.545,.003,.328,11.2,25.9,18.5,15.6,1.0,1.1,17.3,11.7,4.3,4.1,8.4,.135,0.9,1.5,2.5,3.3
9,Gus Williams,26,SEA,PG,82,82,2969,20.6,.529,.023,.274,4.5,5.3,4.9,20.7,3.2,0.7,9.5,25.2,7.2,4.4,11.6,.187,3.1,1.6,4.7,5.0
