Rank,Player,Age,Tm,First,Pts Won,Pts Max,Share,G,-9999
1,LeBron James,24,CLE,109,1172,1210,0.969,81,jamesle01
2,Kobe Bryant,30,LAL,2,698,1210,0.577,82,bryanko01
3,Dwyane Wade,27,MIA,7,680,1210,0.562,79,wadedw01
4,Dwight Howard,23,ORL,1,328,1210,0.271,79,howardw01
5,Chris Paul,23,NOH,2,192,1210,0.159,78,paulch01
6,Chauncey Billups,32,TOT,0,33,1210,0.027,79,billuch01
7,Paul Pierce,31,BOS,0,21,1210,0.017,81,piercpa01
8,Tony Parker,26,SAS,0,9,1210,0.007,72,parketo01
9,Brandon Roy,24,POR,0,7,1210,0.006,78,roybr01
10,Dirk Nowitzki,30,DAL,0,3,1210,0.002,81,nowitdi01
11,Tim Duncan,32,SAS,0,2,1210,0.002,75,duncati01
12,Yao Ming,28,HOU,0,1,1210,0.001,77,mingya01
