Rank,Player,Age,Tm,First,Pts Won,Pts Max,Share,-9999
1,Kevin Durant,25,OKC,119,1232,1250,0.986,duranke01
2,LeBron James,29,MIA,6,891,1250,0.713,jamesle01
3,Blake Griffin,24,LAC,0,434,1250,0.347,griffbl01
4,Joakim Noah,28,CHI,0,322,1250,0.258,noahjo01
5,James Harden,24,HOU,0,85,1250,0.068,hardeja01
6,Stephen Curry,25,GSW,0,66,1250,0.053,curryst01
7,Chris Paul,28,LAC,0,45,1250,0.036,paulch01
8,Al Jefferson,29,CHA,0,34,1250,0.027,jeffeal01
9,Paul George,23,IND,0,33,1250,0.026,georgpa01
10,LaMarcus Aldridge,28,POR,0,26,1250,0.021,aldrila01
11,Kevin Love,25,MIN,0,25,1250,0.020,loveke01
12T,Tim Duncan,37,SAS,0,21,1250,0.017,duncati01
12T,Tony Parker,31,SAS,0,21,1250,0.017,parketo01
14,Dirk Nowitzki,35,DAL,0,7,1250,0.006,nowitdi01
15,Carmelo Anthony,29,NYK,0,4,1250,0.003,anthoca01
16,Goran Dragić,27,PHO,0,3,1250,0.002,dragigo01
17,Mike Conley,26,MEM,0,1,1250,0.001,conlemi01
