Player,Share,Team
Moses Malone,0.96,PHI
Larry Bird,0.485,BOS
Magic Johnson,0.406,LAL
Sidney Moncrief,0.301,MIL
Julius Erving,0.149,PHI
Alex English,0.056,DEN
Buck Williams,0.053,NJN
Artis Gilmore,0.044,SAS
George Gervin,0.04,SAS
Kareem Abdul-Jabbar,0.02,LAL
Jack Sikma,0.017,SEA
Jeff Ruland,0.016,WSB
Terry Cummings,0.013,SDC
Maurice Lucas,0.012,PHO
Alton Lister,0.007,MIL
Bernard King,0.005,NYK
Isiah Thomas,0.005,DET
Larry Drew,0.004,KCK
Gus Williams,0.004,SEA
Dan Roundfield,0.003,ATL
Marques Johnson,0.002,MIL
Norm Nixon,0.001,LAL
Kiki Vandeweghe,0.001,DEN
