Player,Tm,Share
Karl Malone,UTA,0.701
Alonzo Mourning,MIA,0.655
Tim Duncan,SAS,0.627
Allen Iverson,PHI,0.27
Jason Kidd,PHO,0.135
Shaquille O'Neal,LAL,0.075
Chris Webber,SAC,0.043
Grant Hill,DET,0.033
Gary Payton,SEA,0.03
Kevin Garnett,MIN,0.008
Shawn Kemp,CLE,0.006
David Robinson,SAS,0.005
Hakeem Olajuwon,HOU,0.003
Arvydas Sabonis,POR,0.003
Darrell Armstrong,ORL,0.002
Vince Carter,TOR,0.001
Anfernee Hardaway,ORL,0.001
Mark Jackson,IND,0.001
Glenn Robinson,MIL,0.001
Steve Smith,ATL,0.001
Rasheed Wallace,POR,0.001
