Rank,Player,Tm,First,Pts Won,Pts Max,Share,-9999
1,Shai Gilgeous-Alexander,OKC,71,913,1000,0.913,gilgesh01
2,Nikola Jokić,DEN,29,787,1000,0.787,jokicni01
3,Giannis Antetokounmpo,MIL,0,470,1000,0.470,antetgi01
4,Jayson Tatum,BOS,0,311,1000,0.311,tatumja01
5,Donovan Mitchell,CLE,0,74,1000,0.074,mitchdo01
6,LeBron James,LAL,0,16,1000,0.016,jamesle01
7T,Cade Cunningham,DET,0,12,1000,0.012,cunnica01
7T,Anthony Edwards,MIN,0,12,1000,0.012,edwaran01
9,Stephen Curry,GSW,0,2,1000,0.002,curryst01
10T,Jalen Brunson,NYK,0,1,1000,0.001,brunsja01
10T,James Harden,LAC,0,1,1000,0.001,hardeja01
10T,Evan Mobley,CLE,0,1,1000,0.001,mobleev01
