,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,Allen Iverson,25,PHI,SG,71,71,42.0,10.7,25.5,.420,1.4,4.3,.320,9.4,21.2,.441,.447,8.2,10.1,.814,0.7,3.1,3.8,4.6,2.5,0.3,3.3,2.1,31.1
1,Jerry Stackhouse,26,DET,SG,80,80,40.2,9.7,24.1,.402,2.1,5.9,.351,7.6,18.2,.418,.445,8.3,10.1,.822,1.2,2.7,3.9,5.1,1.2,0.7,4.1,2.0,29.8
2,Shaquille O'Neal,28,LAL,C,74,74,39.5,11.0,19.2,.572,0.0,0.0,.000,11.0,19.2,.573,.572,6.7,13.1,.513,3.9,8.8,12.7,3.7,0.6,2.8,2.9,3.5,28.7
3,Kobe Bryant,22,LAL,SG,68,68,40.9,10.3,22.2,.464,0.9,2.9,.305,9.4,19.3,.489,.484,7.0,8.2,.853,1.5,4.3,5.9,5.0,1.7,0.6,3.2,3.3,28.5
4,Vince Carter,24,TOR,SF,75,75,39.7,10.2,22.1,.460,2.2,5.3,.408,8.0,16.8,.477,.509,5.1,6.7,.765,2.3,3.2,5.5,3.9,1.5,1.1,2.2,2.7,27.6
5,Chris Webber,27,SAC,PF,70,70,40.5,11.2,23.4,.481,0.0,0.4,.071,11.2,23.0,.488,.481,4.6,6.6,.703,2.6,8.5,11.1,4.2,1.3,1.7,2.8,3.2,27.1
6,Tracy McGrady,21,ORL,SG,77,77,40.1,10.2,22.4,.457,0.8,2.2,.355,9.5,20.2,.468,.474,5.6,7.6,.733,2.5,5.0,7.5,4.6,1.5,1.5,2.6,2.1,26.8
7,Paul Pierce,23,BOS,SF,82,82,38.0,8.4,18.5,.454,1.8,4.7,.383,6.6,13.8,.478,.503,6.7,9.0,.745,1.1,5.2,6.4,3.1,1.7,0.8,3.2,3.1,25.3
8,Antawn Jamison,24,GSW,SF,82,82,41.4,9.8,22.1,.442,0.8,2.5,.302,9.0,19.6,.459,.459,4.7,6.5,.715,3.4,5.3,8.7,2.0,1.4,0.3,2.4,2.7,24.9
9,Stephon Marbury,23,NJN,PG,67,67,38.2,8.4,19.1,.441,1.6,5.0,.328,6.8,14.1,.481,.484,5.4,6.8,.790,0.8,2.3,3.1,7.6,1.2,0.1,2.9,2.2,23.9
10,Antoine Walker,24,BOS,PF,81,81,41.9,8.8,21.2,.413,2.7,7.4,.367,6.0,13.8,.439,.478,3.1,4.3,.716,1.9,7.0,8.9,5.5,1.7,0.6,3.7,3.1,23.4
11,Karl Malone,37,UTA,PF,81,81,35.7,8.3,16.6,.498,0.0,0.1,.400,8.2,16.5,.499,.499,6.6,8.3,.793,1.4,6.9,8.3,4.5,1.1,0.8,3.0,2.7,23.2
12,Gary Payton,32,SEA,PG,79,79,41.1,9.2,20.1,.456,1.3,3.4,.375,7.9,16.7,.472,.488,3.4,4.5,.766,0.9,3.6,4.6,8.1,1.6,0.3,2.6,2.3,23.1
13,Tim Duncan,24,SAS,PF,82,82,38.7,8.6,17.1,.499,0.1,0.3,.259,8.5,16.8,.504,.502,5.0,8.1,.618,3.2,9.0,12.2,3.0,0.9,2.3,3.0,3.0,22.2
14,Ray Allen,25,MIL,SG,82,82,38.2,7.7,16.0,.480,2.5,5.7,.433,5.2,10.3,.506,.557,4.2,4.8,.888,1.2,4.0,5.2,4.6,1.5,0.2,2.5,2.3,22.0
15,Kevin Garnett,24,MIN,PF,81,81,39.5,8.7,18.2,.477,0.2,0.8,.288,8.5,17.4,.486,.484,4.4,5.8,.764,2.7,8.7,11.4,5.0,1.4,1.8,2.8,2.5,22.0
16,Glenn Robinson,28,MIL,SF,76,74,37.0,9.0,19.2,.468,0.7,2.4,.299,8.3,16.8,.493,.487,3.3,4.0,.820,1.6,5.3,6.9,3.3,1.1,0.8,2.9,2.5,22.0
17,Dirk Nowitzki,22,DAL,PF,82,82,38.1,7.2,15.2,.474,1.8,4.8,.387,5.4,10.5,.513,.534,5.5,6.6,.838,1.5,7.7,9.2,2.1,1.0,1.2,1.9,3.0,21.8
18,Michael Finley,27,DAL,SF,82,82,42.0,8.7,18.9,.458,1.1,3.2,.346,7.6,15.7,.481,.487,3.1,4.0,.775,1.3,3.9,5.2,4.4,1.4,0.4,2.3,2.1,21.5
19,Antonio McDyess,26,DEN,PF,70,70,36.5,8.2,16.6,.495,0.0,0.0,,8.2,16.6,.495,.495,4.3,6.2,.700,3.4,8.6,12.1,2.1,0.6,1.5,2.3,3.1,20.8
20,Shareef Abdur-Rahim,24,VAN,SF,81,81,40.0,7.5,15.8,.472,0.1,0.8,.188,7.3,15.0,.487,.477,5.5,6.6,.834,2.2,6.9,9.1,3.1,1.1,1.0,2.9,2.9,20.5
21,Jalen Rose,28,IND,SF,72,72,40.9,7.9,17.3,.457,0.8,2.4,.339,7.1,14.8,.476,.480,4.0,4.8,.828,0.5,4.5,5.0,6.0,0.9,0.6,2.9,3.2,20.5
22,Peja StojakoviÄ,23,SAC,SF,75,75,38.7,7.5,15.9,.470,1.9,4.8,.400,5.5,11.1,.501,.531,3.6,4.2,.856,1.2,4.5,5.8,2.2,1.2,0.2,1.9,1.9,20.4
