Rk,Team,Overall,Home,Road,E,W,Pre,Post,≤3,≥10
1,Chicago Bulls,87.8,95.12,80.49,87.04,89.29,89.36,85.71,62.5,95.83
2,Seattle SuperSonics,78.05,92.68,63.41,73.33,80.77,73.91,83.33,50.0,78.95
3,Orlando Magic,73.17,90.24,56.1,74.07,71.43,70.83,76.47,70.59,71.43
4,San Antonio Spurs,71.95,80.49,63.41,66.67,75.0,68.89,75.68,69.23,77.5
5,Utah Jazz,67.07,82.93,51.22,73.33,63.46,66.67,67.65,45.45,82.22
6,Los Angeles Lakers,64.63,73.17,56.1,63.33,65.38,59.57,71.43,50.0,70.45
7,Indiana Pacers,63.41,78.05,48.78,66.67,57.14,65.96,60.0,55.56,75.86
8,Houston Rockets,58.54,65.85,51.22,56.67,59.62,63.27,51.52,40.0,55.17
9,Cleveland Cavaliers,57.32,63.41,51.22,53.7,64.29,56.52,58.33,62.5,60.0
10,New York Knicks,57.32,63.41,51.22,59.26,53.57,65.22,47.22,100.0,57.14
11,Atlanta Hawks,56.1,63.41,48.78,59.26,50.0,55.32,57.14,52.94,61.29
12,Detroit Pistons,56.1,73.17,39.02,50.0,67.86,51.11,62.16,44.44,67.57
13,Portland Trail Blazers,53.66,63.41,43.9,50.0,55.77,50.0,58.82,38.89,63.64
14,Miami Heat,51.22,63.41,39.02,53.7,46.43,45.83,58.82,40.0,55.26
15,Phoenix Suns,50.0,60.98,39.02,60.0,44.23,47.83,52.78,44.44,52.63
16,Charlotte Hornets,50.0,60.98,39.02,48.15,53.57,47.83,52.78,40.0,51.43
17,Sacramento Kings,47.56,63.41,31.71,53.33,44.23,54.55,39.47,58.33,27.03
18,Washington Bullets,47.56,60.98,34.15,38.89,64.29,47.83,47.22,33.33,52.5
19,Golden State Warriors,43.9,56.1,31.71,46.67,42.31,44.68,42.86,57.14,37.14
20,Denver Nuggets,42.68,58.54,26.83,43.33,42.31,42.55,42.86,45.45,36.36
21,Boston Celtics,40.24,43.9,36.59,42.59,35.71,36.17,45.71,53.33,33.33
22,New Jersey Nets,36.59,48.78,24.39,38.89,32.14,38.3,34.29,45.45,26.32
23,Los Angeles Clippers,35.37,46.34,24.39,26.67,40.38,33.33,38.24,57.14,32.35
24,Dallas Mavericks,31.71,39.02,24.39,23.33,36.54,34.78,27.78,43.75,25.0
25,Minnesota Timberwolves,31.71,41.46,21.95,30.0,32.69,28.89,35.14,35.71,29.73
26,Milwaukee Bucks,30.49,34.15,26.83,29.63,32.14,40.0,18.92,37.5,26.47
27,Toronto Raptors,25.61,36.59,14.63,25.93,25.0,27.66,22.86,40.0,20.51
28,Philadelphia 76ers,21.95,26.83,17.07,22.22,21.43,20.0,24.32,53.85,8.33
29,Vancouver Grizzlies,18.29,24.39,12.2,20.0,17.31,21.28,14.29,62.5,5.26
